pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate,lumclass,plx,e_plx,Teff,e_Teff
55 Cnc e,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,0.736547,1.7e-06,-1.7e-06,0,0.0,0.0,0.0,0,0.032,0.034,-0.022,0,0.0,0.0,0.0,0,2455201.9525,0.0073,-0.009,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,5292.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.95084,0.023,-0.023,4.015,0.036,-0.036,2026-02-12,2025-12,2026-02-12,,nan,nan,nan,nan
AU Mic b,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,2e-06,-2e-06,0,4.07,0.17,-0.17,0,0.0,0.0,0.0,0,89.5,0.3,-0.3,0,2458330.39051,0.00015,-0.00015,0,1,0.18,0.11,-0.11,0,0.0,0.0,0.0,0,3.5,0.08,-0.08,0,19.1,0.3,-0.3,0,0.0496,0.0007,-0.0007,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,3700.0,100.0,-100.0,0,0.75,0.03,-0.03,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.81,0.1,-0.1,4.529,0.02,-0.02,2021-08-09,2021-05,2021-08-09,DWARF,102.829,0.0485613,nan,nan
AU Mic c,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,8e-05,-8e-05,0,2.52202066,0.24659758,-0.24659758,0,0.00338,0.00164,-0.00164,0,89.22655,0.21654,-0.21654,0,2458342.224,0.0019,-0.0018,0,1,0.3,0.13,-0.19,0,0.097,0.018,-0.017,0,4.236,0.029,-0.029,0,32.05,0.86,-1.0,0,0.0311,0.0028,-0.0028,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,3678.0,90.0,-88.0,0,0.744,0.023,-0.021,0,4.404,0.026,-0.031,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.81,0.1,-0.1,4.529,0.02,-0.02,2024-09-28,2023-12,2024-09-28,,nan,nan,nan,nan
BD+05 4868 A b,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,1,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,1.271869,1e-06,-1e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2460556.2892,0.0003,-0.0003,0,0,0.0,0.0,0.0,0,1.4,0.6,-0.6,0,0.0,0.0,0.0,0,6.4,0.2,-0.2,0,0.0,0.0,0.0,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,4596.0,65.0,-64.0,0,0.69,0.02,-0.02,0,4.6,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.158,0.01,-0.01,7.448,0.026,-0.026,2025-03-21,2025-01,2025-03-21,N/A,23.4998,0.0783431,nan,nan
BD+20 594 b,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0,2.23,0.14,-0.11,0,0.0,0.0,0.0,0,89.55,0.17,-0.14,0,2457151.9021,0.0042,-0.0047,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,55.8,3.3,-3.3,0,0.02204,0.00058,-0.00057,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,5766.0,99.0,-99.0,0,0.928,0.055,-0.04,0,4.5,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.849,0.012,-0.012,9.368,0.018,-0.018,2018-04-25,2016-10,2016-07-28,DWARF,5.54366,0.0384779,5651.76,119.299
BD-14 3065 b,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,1,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0,21.59,1.05,-1.05,0,0.066,0.0098,-0.011,0,80.78,0.24,-0.3,0,2459313.48578,0.00076,-0.00076,0,0,0.9099,0.0092,-0.0079,0,0.649,0.023,-0.02,0,3.086,0.041,-0.041,0,6.01,0.12,-0.13,0,0.0843,0.0023,-0.0022,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,6935.0,90.0,-90.0,0,2.35,0.08,-0.08,0,3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.1,0.013,-0.013,9.932,0.026,-0.026,2024-06-25,2024-03,2024-06-25,DWARF,1.66848,0.046156,6736.88,107.475
CoRoT-1 b,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.5089682,5e-07,-5e-07,0,19.223435,0.33627,-0.33627,0,0.036,0.0,0.0,1,85.1,0.5,-0.5,0,2454138.32807,6e-05,-6e-05,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6298.0,66.0,-66.0,0,1.23,0.02,-0.02,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.623,0.114,-0.114,12.149,0.027,-0.027,2019-03-18,2017-06,2019-03-21,DWARF,1.24176,0.0375126,6355.07,38.1212
CoRoT-10 b,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,1,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.0002,-0.0002,0,10.87,0.78,-0.78,0,0.53,0.04,-0.04,0,88.55,0.2,-0.2,0,2454273.3436,0.0012,-0.0012,0,0,0.85,0.03,-0.03,0,1.61036,0.0978881,-0.0949999,0,2.98,0.06,-0.06,0,31.33,2.15,-2.15,0,0.1269,0.0038,-0.0038,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,5075.0,75.0,-75.0,0,0.79,0.05,-0.05,0,4.65,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.293,0.137,-0.137,11.782,0.021,-0.021,2014-05-14,2010-09,2014-05-14,DWARF,2.92694,0.0345474,5025.0,155.0
CoRoT-11 b,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,0,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,2.994325,2.1e-05,-2.1e-05,0,15.58051,0.369897,-0.369897,0,0.0,0.0,0.0,0,83.41,0.17,-0.17,0,2454690.49838,0.00016,-0.00016,0,0,0.8108,0.0077,-0.0077,0,1.16,0.023,-0.023,0,2.44488,0.018,-0.018,0,7.062,0.122,-0.118,0,0.0,0.0,0.0,0,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,0.0,0.0,0.0,0,1.33,0.04,-0.04,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.897,0.114,-0.114,11.248,0.022,-0.022,2019-10-18,2012-07,2019-10-24,,nan,nan,nan,nan
CoRoT-12 b,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.82803914989,1.29551e-05,-1.29551e-05,0,17.76037065,1.2277269,-1.2277269,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2459203.486894,0.00376133,-0.00376133,0,0,0.0,0.0,0.0,0,2.88608258,0.17952656,-0.17952656,0,2.6215943,0.2396363,-0.2396363,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,5675.0,0.0,0.0,0,1.03674,0.0,0.0,0,4.37342,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.588,0.183,-0.183,13.557,0.042,-0.042,2022-08-08,2017-07,2022-08-08,,nan,nan,nan,nan
